STATION_ID,STATION_LOCATION,STATE_NAME,LATITUDE,LONGITUDE,API,CLASS,HOUR_MYT,TEMPERATURE_C,RAIN_FORECAST_SLOTS,HOTSPOT_COUNT,FRP_MW_MEAN,FRP_MW_MAX,HIGH_CONF_COUNT,HOTSPOT_COUNT_100KM,FRP_MW_MEAN_100KM,FRP_MW_MAX_100KM,HIGH_CONF_COUNT_100KM,DATA_FLAG
CA01R,"Kangar, PERLIS",Perlis,6.429928,100.210937,55.0,Moderate,2026-05-06 19:00:00,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA01R,"Kangar, PERLIS",Perlis,6.429928,100.210937,54.0,Moderate,2026-05-07 09:00:00,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA01R,"Kangar, PERLIS",Perlis,6.429928,100.210937,54.0,Moderate,2026-05-07 10:00:00,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA01R,"Kangar, PERLIS",Perlis,6.429928,100.210937,55.0,Moderate,2026-05-07 11:00:00,32.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA02K,"Langkawi, KEDAH",Kedah,6.331608,99.858461,52.0,Moderate,2026-05-06 19:00:00,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA02K,"Langkawi, KEDAH",Kedah,6.331608,99.858461,46.0,Good,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA02K,"Langkawi, KEDAH",Kedah,6.331608,99.858461,49.0,Good,2026-05-07 10:00:00,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA02K,"Langkawi, KEDAH",Kedah,6.331608,99.858461,50.0,Good,2026-05-07 11:00:00,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA03K,"Alor Setar, KEDAH",Kedah,6.13713,100.346857,56.0,Moderate,2026-05-06 19:00:00,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA03K,"Alor Setar, KEDAH",Kedah,6.13713,100.346857,56.0,Moderate,2026-05-07 09:00:00,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
